-,1E+12,user,dim1,dim2,dim3
2058351049_GBSSS_contig00001,131636,GBS_Metagenome,47.23341,-96.55898,75.61407
2058351184_GBSSS_contig00002,105510,GBS_Metagenome,83.76599,-107.35382,79.29887
2058366169_GBSSS_contig00003,76754,GBS_Metagenome,127.52446,-109.50009,74.61881
2058381154_GBSSS_contig00004,67945,GBS_Metagenome,194.22494,-138.65103,62.366465
2058396136_GBSSS_contig00005,64017,GBS_Metagenome,189.60963,-121.36229,64.73747
2058411021_GBSSS_contig00006,63155,GBS_Metagenome,74.73466,-97.47584,76.86763
2058412506_GBSSS_contig00007,60615,GBS_Metagenome,90.8467,-102.84855,74.74803
2058413991_GBSSS_contig00008,53766,GBS_Metagenome,-224.97685,-7.860902,-96.44579
2058415476_GBSSS_contig00009,53594,GBS_Metagenome,-525.78449,-56.022218,-227.94086
2058416961_GBSSS_contig00010,52213,GBS_Metagenome,-561.78038,-56.339829,-256.63386
2058351319_GBSSS_contig00011,50189,GBS_Metagenome,-547.0948,-57.379063,-229.91654
2058352804_GBSSS_contig00012,50185,GBS_Metagenome,124.85025,-111.91985,74.10396
2058354289_GBSSS_contig00013,49695,GBS_Metagenome,-550.42302,-52.650108,-247.76185
2058355774_GBSSS_contig00014,46100,GBS_Metagenome,-552.10526,-53.015697,-240.22852
2058357259_GBSSS_contig00015,45572,GBS_Metagenome,-553.95319,-47.263426,-242.18719
2058358744_GBSSS_contig00016,41573,GBS_Metagenome,-121.60904,-218.01878,144.81089
2058360229_GBSSS_contig00017,40593,GBS_Metagenome,-15.299718,-204.64822,104.32289
2058363199_GBSSS_contig00019,39826,GBS_Metagenome,213.42489,-113.19126,47.901644
2058364684_GBSSS_contig00020,38178,GBS_Metagenome,77.04977,-99.43899,73.74227
2058366304_GBSSS_contig00021,37805,GBS_Metagenome,-595.8029,-55.018544,-299.04147
2058367789_GBSSS_contig00022,36623,GBS_Metagenome,-74.37689,-206.44862,140.53053
2058369274_GBSSS_contig00023,36427,GBS_Metagenome,154.0308,-96.63997,57.425984
2058370759_GBSSS_contig00024,35212,GBS_Metagenome,-101.84377,-221.61083,158.41896
2058372244_GBSSS_contig00025,34023,GBS_Metagenome,70.86912,-104.98488,77.16352
2058373729_GBSSS_contig00026,33642,GBS_Metagenome,-181.50867,-2.0925016,-63.846832
2058375214_GBSSS_contig00027,32923,GBS_Metagenome,-534.83395,-51.408,-217.39942
2058378184_GBSSS_contig00029,31681,GBS_Metagenome,-544.62121,-66.832738,-232.80173
2058381289_GBSSS_contig00031,30924,GBS_Metagenome,-82.63591,-224.74186,151.55686
2058382774_GBSSS_contig00032,29914,GBS_Metagenome,49.763483,-104.06837,64.35289
2058384259_GBSSS_contig00033,29658,GBS_Metagenome,-107.8315,-214.90364,136.409
2058385744_GBSSS_contig00034,28604,GBS_Metagenome,297.45954,-152.36382,21.708911
2058387229_GBSSS_contig00035,28006,GBS_Metagenome,128.33303,-113.34918,65.32589
2058388714_GBSSS_contig00036,27955,GBS_Metagenome,-578.08758,-57.902418,-262.43616
2058390199_GBSSS_contig00037,27911,GBS_Metagenome,-559.13529,-26.711475,-268.98494
2058391684_GBSSS_contig00038,27805,GBS_Metagenome,-23.003085,223.48242,81.95341
2058393169_GBSSS_contig00039,27779,GBS_Metagenome,395.72701,-47.831812,-115.76642
2058376699_GBSSS_contig00028,26960,GBS_Metagenome,144.67747,-117.06366,68.251645
2058396271_GBSSS_contig00041,26103,GBS_Metagenome,-538.65469,-56.958447,-227.02904
2058397746_GBSSS_contig00042,25788,GBS_Metagenome,111.545,-84.88179,68.14591
2058399221_GBSSS_contig00043,25678,GBS_Metagenome,-94.11787,-216.29083,150.37897
2058400696_GBSSS_contig00044,25607,GBS_Metagenome,-98.18543,-203.18228,143.03107
2058402171_GBSSS_contig00045,25572,GBS_Metagenome,116.81894,-94.03842,53.265086
2058403646_GBSSS_contig00046,25464,GBS_Metagenome,-97.15839,-218.32223,142.09713
2058405121_GBSSS_contig00047,25217,GBS_Metagenome,-553.66738,-49.565138,-250.10671
2058406596_GBSSS_contig00048,25069,GBS_Metagenome,-103.27037,-198.97129,129.35902
2058408071_GBSSS_contig00049,24732,GBS_Metagenome,131.28367,-111.26304,79.99691
2058409546_GBSSS_contig00050,24716,GBS_Metagenome,150.35748,230.55963,26.132029
2058411156_GBSSS_contig00051,24633,GBS_Metagenome,-241.59366,8.603714,-97.29153
2058411291_GBSSS_contig00052,23779,GBS_Metagenome,-84.49903,-216.12696,147.26761
2058411561_GBSSS_contig00054,23753,GBS_Metagenome,171.11836,246.23424,26.148696
2058411426_GBSSS_contig00053,23720,GBS_Metagenome,-112.47733,-227.28265,160.87274
2058411831_GBSSS_contig00056,23720,GBS_Metagenome,-570.38737,-31.19739,-276.23533
2058411966_GBSSS_contig00057,23555,GBS_Metagenome,-79.07928,-33.601603,60.84491
2058412101_GBSSS_contig00058,23523,GBS_Metagenome,120.56667,-125.70026,68.81623
2058412236_GBSSS_contig00059,23452,GBS_Metagenome,163.36782,236.8835,26.060573
2058412371_GBSSS_contig00060,23431,GBS_Metagenome,-42.11242,176.46391,95.704
2058412641_GBSSS_contig00061,23364,GBS_Metagenome,-556.92679,-42.540421,-251.965
2058412776_GBSSS_contig00062,23172,GBS_Metagenome,-232.02081,-5.5244469,-96.74161
2058412911_GBSSS_contig00063,23133,GBS_Metagenome,-220.74549,1.7510045,-93.49921
2058413046_GBSSS_contig00064,22951,GBS_Metagenome,137.98337,236.3949,39.593505
2058413181_GBSSS_contig00065,22914,GBS_Metagenome,-557.06252,-60.046021,-236.72663
