Contig,Organism,Size,dim1,dim2,dim3
091029_29larger_00001_0,2000,OctSpA1SCG,-5.1450014,246.31705,95.29604
091029_29larger_00001_1000,2000,OctSpA1SCG,5.8591953,233.71201,90.73575
091029_29larger_00001_10000,2000,OctSpA1SCG,-56.925015,238.71022,95.70197
091029_29larger_00001_11000,2000,OctSpA1SCG,-30.391809,240.86622,81.5353
091029_29larger_00001_12000,2000,OctSpA1SCG,-16.857309,256.64065,61.904052
091029_29larger_00001_13000,2000,OctSpA1SCG,-34.285272,294.07483,77.51135
091029_29larger_00001_14000,2000,OctSpA1SCG,-0.56263704,256.81663,51.64327
091029_29larger_00001_15000,2000,OctSpA1SCG,-42.09352,208.70647,28.154385
091029_29larger_00001_16000,2000,OctSpA1SCG,-70.80724,237.40241,49.044499
091029_29larger_00001_17000,2000,OctSpA1SCG,3.8707508,238.19985,67.958947
091029_29larger_00001_18000,2000,OctSpA1SCG,49.622678,233.89947,61.97919
091029_29larger_00001_19000,2000,OctSpA1SCG,59.804682,264.29585,50.08822
091029_29larger_00001_2000,2000,OctSpA1SCG,-12.034176,231.80675,101.6631
091029_29larger_00001_20000,2000,OctSpA1SCG,-3.3499018,246.66327,39.887239
091029_29larger_00001_21000,2000,OctSpA1SCG,-97.61276,188.18093,37.827552
091029_29larger_00001_22000,2000,OctSpA1SCG,-144.08527,144.84316,46.432883
091029_29larger_00001_23000,2000,OctSpA1SCG,-121.6656,87.75095,53.349107
091029_29larger_00001_24000,2000,OctSpA1SCG,-113.30109,43.80103,39.495358
091029_29larger_00001_25000,2000,OctSpA1SCG,-141.36206,63.912296,45.570889
091029_29larger_00001_26000,2000,OctSpA1SCG,-117.34702,116.0992,53.900819
091029_29larger_00001_27000,2000,OctSpA1SCG,-73.61977,193.69455,65.902382
091029_29larger_00001_28000,2000,OctSpA1SCG,-33.837923,239.27183,100.56095
091029_29larger_00001_29000,2000,OctSpA1SCG,-9.818732,230.4904,95.64023
091029_29larger_00001_3000,2000,OctSpA1SCG,-20.214026,221.1489,124.98486
091029_29larger_00001_30000,2000,OctSpA1SCG,-42.822843,236.57585,77.24122
091029_29larger_00001_31000,2000,OctSpA1SCG,-108.47459,263.28092,83.93588
091029_29larger_00001_32000,2000,OctSpA1SCG,-48.559602,243.72194,94.96242
091029_29larger_00001_33000,2000,OctSpA1SCG,-11.602885,207.34903,79.44531
091029_29larger_00001_34000,2000,OctSpA1SCG,-35.923356,234.91594,48.01104
091029_29larger_00001_35000,2000,OctSpA1SCG,-15.695743,238.20237,44.316286
091029_29larger_00001_36000,2000,OctSpA1SCG,-3.7286277,200.93024,68.71018
091029_29larger_00001_37000,2000,OctSpA1SCG,-12.97793,162.5449,76.05542
091029_29larger_00001_38000,1502,OctSpA1SCG,-23.288062,130.37815,52.493784
091029_29larger_00001_4000,2000,OctSpA1SCG,-22.466318,206.12074,75.71606
091029_29larger_00001_5000,2000,OctSpA1SCG,-42.133805,176.27939,75.5237
091029_29larger_00001_6000,2000,OctSpA1SCG,-64.469678,225.71717,87.26865
091029_29larger_00001_7000,2000,OctSpA1SCG,-62.629161,271.86642,82.10475
091029_29larger_00001_8000,2000,OctSpA1SCG,-55.18674,218.45418,100.1035
091029_29larger_00001_9000,2000,OctSpA1SCG,-51.651229,210.61264,82.27982
091029_29larger_00004_0,2000,OctSpA1SCG,-73.07062,228.14918,76.524
091029_29larger_00004_1000,2000,OctSpA1SCG,-78.63779,263.30388,72.92747
