Contig,Organism,Size,dim1,dim2,dim3
Sequence0000000001,Metagenome,407722,-276.76474,91.18858,79.82926
Sequence0000000002,Metagenome,361691,-318.70601,99.76974,75.03475
Sequence0000000003,Metagenome,269357,-250.54365,96.62352,86.66063
Sequence0000000004,Metagenome,224482,-251.40703,92.15304,71.37508
Sequence0000000005,Metagenome,187524,74.10991,129.27887,109.17242
Sequence0000000006,Metagenome,186451,-304.88731,107.15229,74.01527
Sequence0000000007,Metagenome,177082,-255.2858,90.54031,97.27683
Sequence0000000008,Metagenome,173637,70.00763,127.0612,113.55708
Sequence0000000009,Metagenome,154400,99.84982,20.364435,-79.00095
Sequence0000000010,Metagenome,148691,-270.59879,87.47151,89.35528
Sequence0000000011,Metagenome,144933,-246.73271,106.69267,76.36594
Sequence0000000012,Metagenome,139180,86.16342,37.288104,-87.29434
Sequence0000000013,Metagenome,136416,-331.40163,109.93773,70.64092
Sequence0000000014,Metagenome,131258,-260.92192,93.94168,81.91148
Sequence0000000015,Metagenome,124379,120.21002,22.605037,-78.78388
Sequence0000000016,Metagenome,118802,111.39709,110.33232,-0.924903
Sequence0000000017,Metagenome,117768,77.51884,130.48721,93.38777
Sequence0000000018,Metagenome,112201,-152.3991,23.240385,6.8729934
Sequence0000000019,Metagenome,111156,-240.49816,93.90255,75.65845
Sequence0000000020,Metagenome,109975,-10.741073,122.35048,95.22247
Sequence0000000021,Metagenome,105747,-258.18429,93.65314,74.52627
Sequence0000000022,Metagenome,100814,203.76335,13.247808,-26.100767
Sequence0000000023,Metagenome,100068,45.455753,38.815329,-81.59543
Sequence0000000024,Metagenome,100042,35.76384,129.87352,95.23843
Sequence0000000025,Metagenome,98809,117.87867,37.343215,-86.94763
Sequence0000000026,Metagenome,98441,130.7467,130.89412,126.04263
Sequence0000000027,Metagenome,93672,-13.888707,44.66987,28.440762
Sequence0000000028,Metagenome,93058,-316.88496,89.84591,78.79879
Sequence0000000029,Metagenome,91935,-32.955307,121.786,84.98469
Sequence0000000030,Metagenome,90677,45.970883,129.83621,79.59231
Sequence0000000031,Metagenome,90520,219.33891,13.963929,-33.699246
Sequence0000000032,Metagenome,90404,112.70385,38.551569,-90.5408
Sequence0000000033,Metagenome,89969,-32.289166,109.6368,78.40483
Sequence0000000034,Metagenome,88156,-313.35759,110.11091,78.3335
Sequence0000000035,Metagenome,87182,85.01871,30.827195,-88.83679
Sequence0000000036,Metagenome,87125,110.5048,30.676646,-93.02776
Sequence0000000037,Metagenome,86723,-10.691212,34.409123,39.644584
Sequence0000000038,Metagenome,86327,-127.80138,9.750825,9.112901
Sequence0000000039,Metagenome,86250,202.81128,5.8624202,-27.460587
Sequence0000000040,Metagenome,86249,110.01718,39.587219,-90.01237
Sequence0000000041,Metagenome,78997,105.51345,31.666684,-96.35535
Sequence0000000042,Metagenome,78387,38.737986,92.08353,-19.610241
Sequence0000000043,Metagenome,78361,114.72636,120.04566,111.98257
Sequence0000000044,Metagenome,77877,101.56972,28.934234,-80.24345
Sequence0000000045,Metagenome,76584,-15.976828,38.911418,28.402143
Sequence0000000046,Metagenome,75988,137.8349,20.557201,-82.48751
Sequence0000000047,Metagenome,75662,151.74551,111.67114,106.43346
Sequence0000000048,Metagenome,73466,-96.28906,-20.956306,70.16527
Sequence0000000049,Metagenome,73029,-10.629521,50.500275,23.588292
Sequence0000000050,Metagenome,71138,107.40933,31.349514,-91.53921
Sequence0000000051,Metagenome,70739,-311.03821,98.09604,75.30082
Sequence0000000052,Metagenome,70401,210.19957,9.733234,-15.998948
Sequence0000000053,Metagenome,69973,-299.14626,95.62875,95.1944
Sequence0000000054,Metagenome,69081,78.29878,46.996572,-78.57087
Sequence0000000055,Metagenome,68333,-12.186174,49.360248,34.590472
Sequence0000000057,Metagenome,68314,-9.457609,45.433619,21.03801
Sequence0000000056,Metagenome,68306,218.43087,16.01551,-21.387457
Sequence0000000058,Metagenome,68214,-115.40522,-6.8635273,29.729168
Sequence0000000059,Metagenome,68147,220.14426,14.686686,-27.072703
Sequence0000000060,Metagenome,66470,102.54881,40.528726,-82.4173
Sequence0000000061,Metagenome,65418,60.650002,36.416401,8.543283
Sequence0000000062,Metagenome,64861,-305.29667,115.91482,92.48925
Sequence0000000063,Metagenome,64009,-311.35041,100.81631,99.24264
Sequence0000000064,Metagenome,63671,-12.015878,136.81507,85.84254
Sequence0000000065,Metagenome,62532,89.93873,24.056452,-81.47545
Sequence0000000066,Metagenome,62517,-77.97083,-19.299063,76.18569
Sequence0000000067,Metagenome,62402,-323.63912,90.53289,87.0072
Sequence0000000068,Metagenome,62398,24.917515,93.21648,-26.460602
Sequence0000000069,Metagenome,61777,82.07143,23.688665,15.177645
Sequence0000000070,Metagenome,61412,-208.7232,-5.3814565,-57.088311
Sequence0000000071,Metagenome,61370,-12.309045,39.574031,18.390505
Sequence0000000072,Metagenome,61123,34.30329,108.04689,-23.869713
Sequence0000000073,Metagenome,60479,-336.28126,95.12398,77.14182
Sequence0000000074,Metagenome,60307,97.17659,33.931688,-90.4561
Sequence0000000075,Metagenome,60114,153.32212,100.32687,135.24147
Sequence0000000077,Metagenome,59589,-177.205,12.396237,-58.939762
Sequence0000000078,Metagenome,58143,107.61212,26.293477,-80.49363
Sequence0000000079,Metagenome,58064,80.77552,34.884528,-84.58933
Sequence0000000080,Metagenome,57952,-327.81161,96.39364,83.04275
Sequence0000000081,Metagenome,57163,89.15865,-6.9698405,77.93485
Sequence0000000083,Metagenome,56650,62.16119,83.1628,-19.012448
Sequence0000000084,Metagenome,56078,79.71754,5.4798352,69.79595
Sequence0000000085,Metagenome,54667,-301.33831,106.87145,83.20242
Sequence0000000086,Metagenome,54522,83.68276,25.095224,10.192609
Sequence0000000087,Metagenome,54490,-55.848737,36.889503,21.458115
Sequence0000000088,Metagenome,54132,-9.526713,47.014485,21.067011
Sequence0000000089,Metagenome,52622,15.975617,129.71735,85.54693
Sequence0000000090,Metagenome,51846,212.6383,22.869728,-31.652551
Sequence0000000091,Metagenome,51387,60.827361,30.345623,6.081782
Sequence0000000093,Metagenome,50550,-432.5909,-30.125179,83.73995
Sequence0000000094,Metagenome,50416,118.68038,48.046558,-88.14211
Sequence0000000095,Metagenome,49831,-109.99317,6.6726072,10.526068
Sequence0000000096,Metagenome,49543,-118.83711,22.035825,14.245707
Sequence0000000097,Metagenome,49451,61.308079,24.523947,7.039207
Sequence0000000098,Metagenome,49343,-323.20078,94.86428,88.53124
Sequence0000000100,Metagenome,49257,109.73571,34.144621,-87.52653
Sequence0000000101,Metagenome,49009,178.41838,12.450571,-50.108373
Sequence0000000102,Metagenome,48959,87.96774,0.9538074,69.551629
Sequence0000000103,Metagenome,48004,79.70095,25.608261,38.655617
Sequence0000000104,Metagenome,47872,97.45246,28.369544,-76.06767
Sequence0000000105,Metagenome,47743,113.75742,-5.359186,94.02673
Sequence0000000106,Metagenome,47401,-135.19345,19.011398,14.205919
Sequence0000000107,Metagenome,47320,146.6906,122.46311,113.2509
Sequence0000000108,Metagenome,47018,122.51498,34.240416,-81.82321
Sequence0000000109,Metagenome,46881,-206.69901,35.24066,-48.486914
Sequence0000000110,Metagenome,46241,-78.57381,20.235824,24.208205
Sequence0000000111,Metagenome,46008,-41.342049,63.512148,10.868228
Sequence0000000112,Metagenome,45712,238.50302,10.020101,-24.623949
Sequence0000000113,Metagenome,45622,108.63916,113.80488,127.4406
Sequence0000000114,Metagenome,45391,-64.70681,-34.539316,78.47203
Sequence0000000115,Metagenome,45199,216.37448,6.6200022,-18.189171
Sequence0000000116,Metagenome,44747,49.329924,-32.644451,119.66206
Sequence0000000117,Metagenome,44519,70.96964,-11.522504,109.17319
Sequence0000000118,Metagenome,44075,30.10616,47.807214,30.125886
Sequence0000000119,Metagenome,43622,203.26509,3.812942,-33.29998
Sequence0000000120,Metagenome,43607,88.16143,99.16501,-8.281168
Sequence0000000121,Metagenome,43497,204.33091,18.122881,-30.969715
Sequence0000000122,Metagenome,43384,-29.754508,40.868331,27.471367
Sequence0000000123,Metagenome,42888,-212.58195,110.89379,80.99749
Sequence0000000124,Metagenome,42841,-214.06315,30.105222,-43.579011
Sequence0000000125,Metagenome,42830,100.42774,126.96642,129.04353
Sequence0000000126,Metagenome,42723,70.47593,-8.493478,69.383608
Sequence0000000127,Metagenome,42676,78.06673,21.202573,9.756236
